Question,Answer,Chatbot Response
हनुमान की माता का नाम क्या है?,हनुमान की माता का नाम अन्जना था। यह रामायण के एक प्रसिद्ध और महान चरित्र हैं। वे वायुपुत्र थे और उनकी माता का नाम अन्जना था। उनके पिता का नाम केसर था जो एक राक्षस थे। हनुमान रामायण में एक महान भक्त थे और उनकी शक्ति और बल का वर्णन किया गया है।,"ऊपर दिए गए सन्दर्भ में, हनुमान ने सीता से पूछा था कि वह कौन हैं। उन्होंने उनसे पूछा था कि क्या वह देवी हैं या नागा कन्या हैं। इसलिए, हनुमान की माता का नाम इस सन्दर्भ में उपलब्ध नहीं है।"
सुग्रीव kaha k raja the?,सुग्रीव वानर राजा थे जो अपने भाई वाली द्वारा उनके राज्य से निकाले गए थे। उन्होंने छिपकर चित्रकूट पर्वत पर निवास किया था।,Ramayan_text में बताया गया है कि सुग्रीव वानरों के राजा थे। उन्हें उनकी राज्यसत्ता वापस पाने की इच्छा थी जो उन्हें पूरी करने में मुश्किल लग रही थी। उन्होंने राम की मदद लेने का फैसला किया था जिससे उन्हें उनकी इच्छा पूरी हो सकती थी। इसलिए सुग्रीव वानरों के राजा थे।
"बाली की मृत्यु कैसी हुई थी
","Bali ki mrituy kaaran Sugriva tha, jisne Bali ko maar diya tha. Bali ne apne bhai Sugriva ko apne rajya se nikal diya tha aur uski patni ko bhi apne vash mein kar liya tha. Isliye Sugriva ne Rama aur Lakshmana se Bali ko maarna ke liye madad maangi thi. Rama ne Bali ko maar diya tha, lekin Bali ne apne antim samay mein Rama se maafi maangi thi aur unhein ashirwad diya tha.",कैसी हुई थी बाली की मृत्यु इस संदर्भ में कोई जानकारी नहीं है।
त्रिशंकु कौन थे?,"त्रिशंकु एक सूर्यवंशी राजा थे जो अपने शरीर की सुंदरता से इतना प्रेम करते थे कि मृत्यु के समय उसे अपने शरीर के साथ स्वर्ग में जाना था। उन्होंने अपनी इच्छा को पूरा करने के लिए वसिष्ठ के बच्चों से मदद मांगी थी, लेकिन उन्हें असंभव बताया गया था। उनके बच्चों ने उनकी अभिमानित आवेश से खिलवाड़ किया और उन्हें एक चंडाला बनाने का श्राप दिया। इस श्राप के कारण त्रिशंकु चंडाला बन गए थे। बाद में विश्वामित्र ने उन्हें अपने तपस्या शक्ति से स्वर्ग में भेजा लेकिन इंद्र ने उन्हें वापस भेज दिया। विश्वामित्र ने फिर उन्हें स्वर्ग में भेजने के लिए तपस्या की और उन्हें स्वर्ग में भेजा गया।","त्रिशंकु एक सूर्यवंशी राजा थे जो अपने शरीर की सुंदरता से बहुत प्रेम करते थे। उन्हें मृत्यु के समय अपने शरीर को छोड़ने की सोच से बेहद दुख हुआ था और वे उसी शरीर में स्वर्ग को प्राप्त होना चाहते थे। उन्होंने अपनी इच्छा को पूरा करने के लिए वसिष्ठ के बेटों से मदद मांगी थी, लेकिन उन्हें असंभव बताया गया था। उनके बेटे ने उनकी वहम को उड़ाते हुए उन्हें असंभव काम के लिए मदद मांगने से इनकार कर दिया था। इससे नाराज होकर त्रिशंकु ने उन्हें चंडाल बनाने की शाप दे दिया था।"
Viswamitra ram ji ko apne sath kyo le jana chate the,"Viswamitra ne Ram ji ko apne sath le jane ka prastav isliye rakha tha kyunki unhe apne yagya ke liye ek surakshit raksha chahiye thi aur Viswamitra ko pata tha ki Ram ji unhe surakshit rakh sakte hai. Viswamitra ko Ram ji ki shakti aur guno ke bare mein pata tha aur unhe apne yagya ke liye ek surakshit raksha chahiye thi, isliye unhone Ram ji ko apne sath le jane ka prastav rakha tha.",Viswamitra Ram ji ko apne sath yagya ke liye le jana chahte the. Unke sath Lakshmana bhi the. Viswamitra tapasvi the aur sabhi shastraon ke janne wale the. Unke sath hone se Ram ji ki suraksha bhi ho jati thi.
tataka kon thi,ताड़का एक राक्षस थी जो सुंदा नाम के यक्ष की पत्नी थी। उनके बेटे मारीच था। उन्होंने ऋषि अगस्त्य पर हमला किया था जिससे ऋषि ने उन्हें मनुष्यों के शवों पर रहने वाले राक्षस बनाया था। विश्वामित्र ने राम को ताड़का को मारने के लिए बुलाया था जिसे राम ने अपनी शक्ति से मार डाला था।,ताड़का एक राक्षस थी जो अगस्त्य ऋषि को हमला करने के बाद राक्षस बन गई थी। वह और उसका पुत्र मारीच अगस्त्य ऋषि के इस क्षेत्र के निवासियों को परेशान कर रहे थे। राम और लक्ष्मण ने उन्हें मार दिया था।
भगीरथ कौन थे?,भगीरथ एक वीर राजा थे जो अपने वंश को आगे बढ़ाने के इच्छुक थे। उन्हें संतान की इच्छा थी और वे गंगा को नीचे लाने की उम्मीद थी। उन्होंने गोकर्ण में तपस्या करने के लिए राज्य को अपने मंत्रियों के हाथों में छोड़ दिया था। उन्होंने तपस्या की और ब्रह्मा उनकी इच्छाओं को पूरा करने के लिए गंगा को नीचे भेजने का आदेश दिया। उन्होंने अपने पूर्वजों के लिए गंगा के साथ अंतिम संस्कार किए और उन्हें स्वर्ग में प्रवेश करवाया। भगीरथ के प्रयासों से गंगा नीचे आई और उसे भगीरथी के नाम से जाना जाता है।,कृपया ध्यान दें कि भगीरथ के बारे में इस संदर्भ में कोई जानकारी उपलब्ध नहीं है। इस संदर्भ में बताई गई जानकारी केवल रामायण से संबंधित है।
अहल्या को क्या श्राप मिला था,"अहल्या को श्राप मिला था कि जब उनके पति ऋषि गौतम अश्रम से बाहर थे तब इंद्र उनकी सुंदरता के दीवाने होकर उनके पति के रूप में उनके पास गया और उनसे अनुरोध किया था। अहल्या ने उसे पहचान लिया था, लेकिन अपनी सुंदरता पर गर्व करते हुए उसकी इच्छा को पूरा कर दी थी। इस पाप के कारण ऋषि गौतम ने उन्हें श्राप दिया था।",अहल्या को उसके पति गौतम ऋषि ने उसकी विश्वासघात के कारण श्राप दिया था। उसे शाप मिला था कि वह पत्नी के रूप में जीवन भर शिलापट्टिका के रूप में रहेगी और जब उसे राम की दर्शन होंगे तब उसका श्राप समाप्त हो जाएगा।
अहल्या को श्राप से किसने मुक्त कराया था,अहल्या को श्राप से मुक्त कराने वाले राम और लक्ष्मण थे। उन्होंने ऋषि गौतम के आश्रम में आकर अहल्या को श्राप से मुक्त कर दिया था। अहल्या ने इंद्र के वश में आकर अपने पति को धोखा दिया था जिससे उन्हें श्राप मिला था। इसके बाद उन्होंने अपनी तपस्या से श्राप को खत्म करने का निर्णय लिया था।,अहल्या को श्राप से राम ने मुक्त कराया था। वह गौतम ऋषि की पत्नी थी जिसे इंद्र ने विश्वास लेकर धोखा देकर उसके साथ अधर्म किया था। इसके बाद उसे श्राप मिला था जो राम ने उसे मुक्त कराया था।
manathara ne kekayi ko kya bola thaa jisne usne ram k vanwas k liyea man gayi,"मंथरा ने कैकेयी को राम को वनवास भेजने के लिए समझाया था। उन्होंने कहा कि राजा दशरथ आपके बेटे भरत को राज्य का उपदेशक बनाना चाहते हैं और इसलिए राम को वनवास भेजने की योजना बना रहे हैं। वह आपके बेटे के लिए एक स्थायी राज्य की स्थापना करना चाहते हैं। उन्होंने कहा कि राम को वनवास भेजा जाना आवश्यक है ताकि आपके बेटे को राज्य का अधिकार मिल सके। इसलिए, मंथरा ने कैकेयी को राम को वनवास भेजने के लिए राजा दशरथ के खिलाफ भड़काया था।",Ramayan_text में बताया गया है कि मंथरा कईकेयी की विश्वासपात्र थी जो उसकी दूरसंबंधी थी। वह राम के वनवास का कारण बनी थी और दशरथ की मृत्यु और राजवंश के सभी दुखों का कारण भी थी। उसने कईकेयी को भ्रमित कर राम के वनवास के लिए मना कर दिया था। इसलिए मंथरा ने केकयी को राम के वनवास के लिए मना कर दिया था।
Who was the one who reminded Hanuman ji of his strength?,जम्बवान ने हनुमान जी को उनकी ताकत की याद दिलाई थी।,जम्बवान ने हनुमान जी को उनकी ताकत की याद दिलाई थी।
"
वह कौन है जो राम को बताता है रावण की मृत्यु का रहस्य?",राम को रावण की मृत्यु के रहस्य का पता सबसे पहले विभीषण ने बताया था।,विभीषण रावण की मृत्यु का रहस्य राम को बताता है। (Vibhishana Ravan ki mrityu ka rahasya Ram ko batata hai.)
संजीविनी जरीबुट्टी क्या है,संजीवनी जड़ी-बूटी रामायण में उल्लिखित है जो राम और लक्ष्मण के घायल होने पर उनकी जान बचाने के लिए हनुमान द्वारा हिमालय के चारों ओर की खोज के बाद पाई गई थी। इस जड़ी-बूटी को लेकर हनुमान तुरंत वापस लौट गए थे जिससे राम और लक्ष्मण को ठीक होने में सफलता मिली थी। इस जड़ी-बूटी को लेकर रामायण में कई कथाएं हैं जो इसकी महत्ता को दर्शाती हैं।,कृपया ध्यान दें कि यह सवाल रामायण से संबंधित नहीं है। इसलिए उत्तर देना संभव नहीं है। कृपया कोई अन्य सवाल पूछें।
रामायण की रचना मूल रूप से किसने की थी?,"रामायण की रचना का श्रेय संत वाल्मीकि को जाता है, जो एक संस्कृत काव्यरचनाकार थे। उन्होंने भगवान राम के जीवन की कहानी को लिखा, जिसमें वे एक धार्मिक नायक के रूप में प्रतिष्ठित हैं।","रामायण की रचना का श्रेय संत वाल्मीकि को जाता है, जो एक संस्कृत काव्यरचनाकार थे। उन्होंने भगवान राम के जीवन की कहानी को लिखा, जिसमें वे एक धार्मिक नायक के रूप में प्रतिष्ठित हैं।"
लक्ष्मण को किसका अवतार माना जाता है?,"लक्ष्मण की अवतारिता किसी व्यक्ति से नहीं हुई है, बल्कि वह अदिशेष के रूप में जाना जाता है जो विष्णु का संरक्षक आत्मा होता है। लक्ष्मण ने हमेशा राम को ताजगी और उत्साह देने का प्रयास किया था।",कोई जानकारी नहीं है कि लक्ष्मण को किसका अवतार माना जाता है। ऊपर दिए गए संदर्भ डेटा में इस संबंध में कोई जानकारी नहीं है।
sanjivini buty kon laya tha,हनुमान ने संजीवनी जड़ी बूटी लाई थी,"ऊपर दिए गए संदर्भ में संजीवनी बूटी के बारे में कोई जानकारी नहीं है। इसलिए, इस सवाल का उत्तर नहीं दिया जा सकता।"
कुम्भकर्ण कौन है,"कुंभकर्ण विश्रवा और कैकसी के दूसरे पुत्र थे  वह रावण का छोटा भाई और विभीषण और शूर्पणखा का बड़ा भाई था  उसका विशाल आकार और भोजन करने की बड़ी भूख के बावजूद, उसे उस समय के अच्छे चरित्र और एक महान योद्धा के रूप में वर्णित किया गया था  ब्रह्मा द्वारा एक वरदान प्रदान किया जाने पर उसे अनन्त नींद के लिए भ्रमित कर दिया गया था  रावण ने भाई के प्रेम के कारण भयभीत होकर ब्रह्मा को वरदान में संशोधन करने के लिए प्रेरित किया  ब्रह्मा ने वरदान की शक्ति को कम करके कुंभकर्ण को एक वर्ष के लिए छ: महीने सोते रहने और बाकी छ: महीने जागते रहने का वरदान दिया  वह रावण की सीता के अपहरण के खिलाफ लड़ने वाले राक्षसों में से एक था","कुम्भकर्ण विश्रवा और कैकसी के दूसरे पुत्र थे। वह रावण का छोटा भाई और विभीषण और शूर्पणखा का बड़ा भाई था। उसके विशाल आकार और भोजन के बावजूद, उसे उस समय के अच्छे चरित्र और एक महान योद्धा के रूप में वर्णित किया गया था। ब्रह्मा द्वारा एक वरदान प्रदान किया जाने पर उसे अनन्त नींद के लिए प्रलोभित कर दिया गया था। रावण ने भाई के प्रेम के कारण भयभीत होकर ब्रह्मा को राजा के लिए अनुरोध किया था। ब्रह्मा ने वरदान की शक्ति को कम करके कुम्भकर्ण को एक वर्ष में छः महीने सोते हुए और बाकी छः महीने जागते हुए बना दिया था। वह सीता के अपहरण के खिलाफ लड़ने वाले राक्षसों में से एक था।"
अंगदा कौन है,"अंगदा वानर थे और वाली और तारा के पुत्र थे  अंगदा ने राम की मदद की थी जिससे उन्होंने अपनी पत्नी सीता को खोजा और उसके हरणकर्ता रावण से लड़ाई भी की थी  अंगदा ने रावण के पुत्र नरंतक को मार डाला था  तारा वाली की पत्नी थीं और अंगदा की माता थीं  वह किश्किन्धा की रानी थीं और पंचकन्याओं में से एक के रूप में मानी जाती हैं  इंद्रजित या मेघनाद रावण के बड़े बेटे थे जिन्हें मंदोदरी ने जन्म दिया था  इस महाकाव्य में, उन्हें एक महान योद्धा और मायावी के रूप में वर्णित किया गया है  वह इंद्रारी भी जाने जाते हैं  तो अंगदा वाली और तारा के पुत्र थे जिन्होंने राम की मदद की थी और रावण के पुत्र नरंतक को मार डाला था",अंगदा वानर थे और वाली और तारा के पुत्र थे। अंगदा ने राम की मदद की थी जिससे उन्होंने अपनी पत्नी सीता को ढूंढने और उसके हरणकर्ता रावण से लड़ने में मदद की थी।
भगवान राम के चरित्र से कौन-कौन सी सिखें?,"रामायण कहानी से हमें कई सीख मिलती हैं  पहले तो यह कि एक सच्चे और निष्ठावान व्यक्ति कभी भी अपने धर्म और नैतिकता से हटने नहीं चाहिए  राम ने अपने धर्म के प्रति निष्ठा और अपनी पत्नी के प्रति प्रेम का उदाहरण प्रस्तुत किया है  दूसरे, हमें यह सीख मिलती है कि हमें हमेशा दूसरों की मदद करनी चाहिए, चाहे वह कोई भी हो  जैसे जटायु ने सीता की मदद की थी, उसी तरह हमें भी दूसरों की मदद करनी चाहिए  तीसरे, हमें यह सीख मिलती है कि हमें अपने धर्म और नैतिकता के प्रति निष्ठा रखनी चाहिए  राम ने अपने धर्म के प्रति निष्ठा रखी थी और उसने अपनी पत्नी के प्रति भी प्रेम और सम्मान दिखाया था  इसलिए, हमें रामायण कहानी से यह सीख मिलती है कि हमें अपने धर्म और नैतिकता के प्रति निष्ठा रखनी चाहिए और दूसरों की मदद करनी चाहिए","भगवान राम के चरित्र से हम न्याय और धर्म के अवतार को समझ सकते हैं। उनके चरित्र से हमें स्वाधीनता, समर्पण और वचनवद्धता का उदाहरण मिलता है। रामायण के अनुसार, भगवान राम ने अपनी पत्नी सीता को रावण के हवाले से बचाने के लिए अनेक परीक्षाओं का सामना किया। उनके चरित्र से हमें धैर्य, संयम और विश्वास का संदेश मिलता है। भगवान राम के चरित्र से हमें जीवन के विभिन्न पहलुओं का समाधान करने के लिए सही मार्ग दिखाई देता है।"
रामायण हमें कौन-कौन सी नैतिक मूल्यों की शिक्षा देता है?,"रामायण हमें कई नैतिक मूल्यों का सिखाता है  इसमें धर्म, कर्तव्य, सत्य, वचनवद्धता, त्याग, समर्पण, विश्वास, क्षमा, दया, निष्ठा, संयम, विनम्रता, समझदारी, सहनशीलता, और समानता जैसे मूल्य हैं  रामायण में राम, सीता, लक्ष्मण, हनुमान जैसे चरित्रों के द्वारा हमें इन मूल्यों का उदाहरण दिया गया है  इससे हमें यह सीख मिलती है कि हमें अपने जीवन में भी इन मूल्यों का पालन करना चाहिए  रामायण हमें एक अच्छे इंसान बनने की शिक्षा देता है","रामायण हमें कुंती, कौशल्या, द्रौपदी और सीता द्वारा झेले गए दुःखों के माध्यम से उन्नति की शिक्षा देता है। इसके अलावा, रामायण में राम, सीता, भरत, लक्ष्मण, रावण, कुंभकर्ण और हनुमान जैसे पात्रों के माध्यम से हिंदू धर्म की समझ बनती है। रामायण एक धार्मिक ग्रंथ होने के साथ-साथ हिंदू मिथकों का भी एक हिस्सा है। इसलिए, रामायण हमें नैतिक मूल्यों की शिक्षा देता है।"
सीता कैसे साहस और सहिष्णुता का प्रदर्शन करती हैं आपातकाल में?,"सीता ने रावण के अत्याचारों का सामना करते हुए धैर्य और सब्र का परिचय दिया  वह अपने पति राम के आश्रय पर खड़ी रहती थी और उनकी वापसी की आशा से जीती रहती थी  उसने रावण के धमकियों से नहीं डरा और उसकी लुभावनी बातों में फंसने से बचा  उसने अशोक वाटिका में बंद रहकर भी अपने पति के प्रति अपनी वफादारी और प्रेम का परिचय दिया  उसने अपनी ताकत और साहस का परिचय दिया जब उसे लकड़ी, झाड़ियां, भूख और कांटेदार झाड़ियों का सामना करना पड़ा  उसने अपने पति के लिए अपनी जान की भी परवाह नहीं की और उसे अपने साथ रहने के लिए विनती की  उसने अपने प्रेम की शक्ति का परिचय दिया जो उसे अपने पति के लिए हर मुश्किल से लड़ने की ताकत देती थी","कृपया ध्यान दें कि यह सवाल रामायण से संबंधित नहीं है। हालांकि, रामायण में सीता ने अपने साहस और सहिष्णुता का प्रदर्शन किया था। जब रावण ने सीता को अपहरण किया था, तब सीता ने अपने पति राम के लिए अपने आप को बलिदान करने का फैसला किया था। वह रावण के बारे में जानती थी कि वह उसे अपनी इच्छा के विपरीत कुछ नहीं करवाएगा। इस तरह, सीता ने अपने साहस और सहिष्णुता का प्रदर्शन किया।"
राम और रावण के बीच युद्ध के महत्व को समझाइए?,राम और रावण के बीच युद्ध का महत्व बहुत अधिक है  इस युद्ध के माध्यम से राम ने अपनी पत्नी सीता को वापस पाया और रावण जैसे दुष्ट राजा को मारकर धर्म की जीत हुई  इस युद्ध में राम ने अपनी शक्ति का परिचय दिया और रावण ने अपनी दुर्बलता का परिचय दिया  इस युद्ध के माध्यम से राम ने धर्म के लिए लड़ने का संदेश दिया और लोगों को धर्म के मार्ग पर चलने के लिए प्रेरित किया  इस युद्ध का महत्व इस बात में है कि यह धर्म की जीत का प्रतीक है,रामायण में युद्ध का महत्व बताया गया है। युद्ध से पहले हमें राम और उनकी सेना की ताकत का अनुमान लगाना चाहिए। हमें हनुमान जैसे शक्तिशाली वानरों की ताकत का भी अनुमान लगाना चाहिए। हमें अपनी ताकत को दुश्मन की ताकत के साथ तुलना करनी चाहिए और फिर युद्ध करने या उससे बचने का निर्णय लेना चाहिए। लेकिन पहले हमें सीता को वापस लाना जरूरी है। रावण से युद्ध करने से पहले हमें सीता को वापस लाना चाहिए।
कहानी कैसे धर्म (कर्तव्य) के अवधारण को हाइलाइट करती है?,"यह कहानी धर्म की अहमियत को उजागर करती है  राम और भरत दोनों अपने पिता के आदेशों का पालन करने के लिए तैयार हैं, जो उन्हें वनवास और राज्य के अधिकार के बीच विचलित करते हैं  राम अपने धर्म का पालन करते हुए वनवास में जाते हैं और भरत राज्य का पालन करते हुए अयोध्या में रहते हैं  इस तरह, यह कहानी धर्म की महत्वपूर्ण भूमिका को उजागर करती है जो हमें अपने परिवार और समाज के साथ अपने कर्तव्यों का पालन करने के लिए प्रेरित करती है","रामायण कहानी धर्म और कर्तव्य के अवधारणों को उजागर करती है। इस कहानी के अनुसार, राम ने अपने कर्तव्य का पालन करते हुए अपने परिवार और देश के लिए लड़ाई लड़ी थी। उन्होंने अपने धर्म के अनुसार जीवन जीता था और लोगों को धर्म के मार्ग पर चलने के लिए प्रेरित किया था। इसलिए, रामायण कहानी धर्म और कर्तव्य के महत्व को उजागर करती है।"
भगवान राम के वनवास का महत्व क्या है?,भगवान राम के वनवास का महत्व उनके परिवार और देश के लिए उनकी त्याग की उदाहरण है  उन्होंने अपने पिता के वचन को पूरा करने के लिए राज्य का त्याग किया और वन में जाकर राक्षसों का संहार किया  उनका वनवास उन्हें धर्म के पथ पर चलने के लिए उत्साहित करता था और उन्होंने अपने भाई लक्ष्मण और पत्नी सीता के साथ वन में जीवन व्यतीत किया  इससे उनके भक्तों को उनके नेतृत्व में विश्वास बढ़ा और उन्हें उनके धर्म के पालन के लिए प्रेरित किया,राम जी के वनवास का महत्व उनके जीवन का एक महत्वपूर्ण अंग है। इस अवधि में उन्होंने अपने धर्म के लिए अनेक उदाहरण स्थापित किए जो हमारे लिए आदर्श हैं। उन्होंने अपने भाई लक्ष्मण के साथ एक वानर सेना के साथ लगातार लड़ाई की जो उनके धर्म के लिए थी। उन्होंने अपने वचनों के लिए खड़े रहकर अपनी पत्नी सीता को बचाने के लिए रावण से लड़ाई की। इस अवधि में उन्होंने अपने धर्म के लिए अनेक उदाहरण स्थापित किए जो हमारे लिए आदर्श हैं।
हनुमान और बंदर सेना का महत्वपूर्ण भूमिका क्या है?,"हनुमान राम के भक्त और दिव्य वानर साथी हैं जो महाकाव्य के महत्वपूर्ण चरित्रों में से एक हैं  वह ब्रह्मचारी हैं और चिरंजीवी में से एक हैं  कुछ संस्करणों में, वह शिव का अवतार भी हैं  हनुमान और उनकी वानर सेना राम के लिए बहुत महत्वपूर्ण हैं क्योंकि वे राम के साथ लंका युद्ध में लड़ते हैं और उन्हें जीत का समर्थन करते हैं  वे राम के लिए सीता को खोजने में भी मदद करते हैं  इसलिए, हनुमान और उनकी वानर सेना महाकाव्य के महत्वपूर्ण चरित्रों में से एक हैं",कृपया ध्यान दें कि यह संदेश रामायण से संबंधित नहीं है। कृपया अपना प्रश्न रामायण से संबंधित रखें।
